e2e (us), eyelink (us), drawing (us)
8640,1358,644
9312,1666,642
5728,1408,635
8192,2361,620
9076,1644,597
5840,1458,643
9200,1404,623
5952,1641,595
8972,2163,609
6732,1426,620
7284,1173,644
6952,1599,633
6284,1453,629
9188,1374,616
5732,1429,576
9196,1483,587
5832,1498,676
8980,1935,620
5840,1461,613
10208,2318,584
5724,1474,597
9416,2400,589
8524,1678,607
9416,2185,607
8752,2024,604
6840,2229,587
7956,1636,603
6512,1651,611
7860,2193,617
8972,1615,610
6844,2107,602
6168,1765,614
7292,1490,620
6060,1644,605
7520,1318,628
6388,1717,634
8864,1432,628
9192,2329,595
5832,1435,629
9308,1426,639
9304,1678,562
7736,1669,573
8076,1697,561
7628,1613,636
5832,1481,628
8740,1647,591
9868,2172,616
5604,1432,627
9312,1444,635
8860,1480,621
7292,2126,613
8072,2308,609
5724,1427,630
5492,1173,604
5728,1227,631
6952,2213,607
6388,1562,631
9312,1865,591
7396,2171,589
6736,1903,612
7400,1891,620
8964,1720,589
6628,1683,618
8184,1633,604
9644,1666,621
9524,1684,612
7960,1356,597
6948,1777,619
6396,1678,614
5832,1664,612
7744,1644,604
8416,1613,624
9088,1610,626
6504,1426,570
6844,1388,647
7172,2250,616
9188,1476,617
8296,1482,614
7620,1659,613
7064,1536,620
8300,2124,633
6060,1295,624
